movie_id,person_id,cast_order
862,31,0
862,12898,1
862,7167,2
862,12899,3
862,12900,4
862,7907,5
862,8873,6
8844,2157,0
8844,205,1
8844,145151,2
8844,5149,3
8844,8537,4
8844,10739,5
8844,58563,6
15602,6837,0
15602,3151,1
15602,13567,2
15602,16757,3
15602,589,4
15602,16523,5
15602,7166,6
31357,8851,0
31357,9780,1
31357,18284,2
31357,51359,3
31357,66804,4
31357,352,5
31357,34,6
11862,67773,0
11862,3092,1
11862,519,2
11862,70696,3
11862,59222,4
11862,18793,5
11862,14592,6
949,1158,0
949,380,1
949,5576,2
949,10127,3
949,3197,4
949,6200,5
949,15851,6
11860,3,0
11860,15887,1
11860,17141,2
11860,12957,3
11860,8937,4
11860,16554,5
11860,4301,6
45325,53283,0
45325,51214,1
45325,57448,2
45325,7867,3
45325,87007,4
45325,8316,5
45325,41293,6
9091,15111,0
9091,6280,1
9091,10361,2
9091,79088,3
9091,12928,4
9091,8656,5
9091,104873,6
710,517,0
710,48,1
710,10695,2
710,10696,3
710,10671,4
710,5309,5
710,1923,6
9087,3392,0
9087,516,1
9087,8349,2
9087,521,3
9087,63279,4
9087,20767,5
9087,112080,6
12110,7633,0
12110,14639,1
12110,1219,2
12110,12688,3
12110,12812,4
12110,13640,5
12110,6106,6
21032,4724,0
21032,382,1
21032,2233,2
21032,12077,3
21032,110001,4
21032,67386,5
21032,19545,6
10858,4173,0
10858,11148,1
10858,6280,2
10858,228,3
10858,382,4
10858,5249,5
10858,19839,6
1408,16935,0
1408,8654,1
1408,8924,2
1408,7868,3
1408,8979,4
1408,16936,5
1408,16937,6
524,380,0
524,4430,1
524,4517,2
524,4512,3
524,7167,4
524,7169,5
524,7166,6
4584,7056,0
4584,204,1
4584,4566,2
4584,3291,3
4584,9138,4
4584,16700,5
4584,1220119,6
5,3129,0
5,3130,1
5,2555,2
5,3126,3
5,3125,4
5,3131,5
5,3137,7
9273,206,0
9273,3547,1
9273,4001,2
9273,57096,3
9273,4029,4
