title,release_year,genres,runtime,director,vote_average,vote_count,popularity,budget,revenue
Toy Story,1995,"Family, Comedy, Animation, Adventure",81,John Lasseter,7.97,19291,18.8275,30000000,394436586
Jumanji,1995,"Adventure, Fantasy, Family",104,Joe Johnston,7.242,10968,2.3866,65000000,262821940
Grumpier Old Men,1995,"Romance, Comedy",101,Howard Deutch,6.5,409,2.2075,25000000,71500000
Waiting to Exhale,1995,"Comedy, Drama, Romance",127,Forest Whitaker,6.26,179,4.7858,16000000,81452156
Father of the Bride Part II,1995,"Comedy, Family",106,Charles Shyer,6.266,777,4.3188,0,76594107
Heat,1995,"Crime, Drama, Action",170,Michael Mann,7.921,7917,11.0379,60000000,187400000
Sabrina,1995,"Romance, Drama, Comedy",127,Sydney Pollack,6.209,657,4.1245,58000000,53672080
Tom and Huck,1995,"Family, Action, Adventure, Drama",97,Peter Hewitt,5.243,202,2.4263,0,23920048
Sudden Death,1995,"Action, Drama, Thriller, Crime",110,Peter Hyams,6.005,773,1.4913,35000000,64350171
GoldenEye,1995,"Adventure, Action, Thriller",130,Martin Campbell,6.9,4149,5.9094,60000000,352194034
The American President,1995,"Comedy, Drama, Romance",113,Rob Reiner,6.5,754,3.6731,62000000,107879496
Dracula: Dead and Loving It,1995,"Comedy, Horror",88,Mel Brooks,6.082,1048,4.6342,30000000,10772144
Balto,1995,"Family, Animation, Adventure",78,Simon Wells,7.302,2116,2.2041,31000000,11348324
Nixon,1995,"Drama, History",192,Oliver Stone,6.873,385,2.0294,44000000,13681765
Cutthroat Island,1995,"Action, Adventure",124,Renny Harlin,5.787,594,3.6621,102000000,16000000
Casino,1995,"Crime, Drama",179,Martin Scorsese,7.993,6250,6.6192,50000000,116112375
Sense and Sensibility,1995,"Drama, Romance",136,Ang Lee,7.421,1775,6.1703,16000000,134582776
Four Rooms,1995,Comedy,98,Robert Rodriguez,5.873,2758,3.3559,4000000,4257354
Ace Ventura: When Nature Calls,1995,"Crime, Comedy, Adventure",90,Steve Oedekerk,6.32,4369,4.1011,30000000,212385533
Money Train,1995,"Action, Comedy, Crime",110,Joseph Ruben,5.851,818,2.9256,68000000,77224232
Get Shorty,1995,"Comedy, Thriller, Crime",105,Barry Sonnenfeld,6.507,1136,3.0752,30250000,115101622
Copycat,1995,"Thriller, Crime, Mystery",124,Jon Amiel,6.471,1174,4.6448,20000000,32000000
Assassins,1995,"Action, Adventure, Crime, Thriller",132,Richard Donner,6.493,1642,4.2895,50000000,30303072
Powder,1995,"Drama, Fantasy",111,Victor Salva,7.0,691,5.3169,9500000,30900000
Leaving Las Vegas,1995,"Drama, Romance",111,Mike Figgis,7.245,1563,2.7934,3600000,49800000
Othello,1995,Drama,123,Oliver Parker,6.334,148,2.6906,11000000,2800000
Now and Then,1995,"Comedy, Drama, Romance",100,Lesli Linka Glatter,6.882,461,1.8296,12000000,27400000
Persuasion,1995,"Drama, Romance",104,Roger Michell,7.1,135,3.918,1500000,5269757
The City of Lost Children,1995,"Fantasy, Science Fiction, Adventure",112,Jean-Pierre Jeunet,7.251,1161,2.6844,18000000,1738611
Shanghai Triad,1995,"Drama, Crime",108,Zhang Yimou,6.728,101,2.1783,2300000,0
Dangerous Minds,1995,Drama,99,John N. Smith,6.961,1216,4.6675,23000000,179519401
Twelve Monkeys,1995,"Science Fiction, Thriller, Mystery",129,Terry Gilliam,7.602,8778,6.5332,29000000,168841459
Wings of Courage,1995,"Romance, Adventure",50,Jean-Jacques Annaud,6.5,21,2.009,0,0
Babe,1995,"Fantasy, Drama, Comedy, Family",92,Chris Noonan,6.25,3025,5.2011,30000000,254100000
