movie_id,genre_id
862,10751
862,35
862,16
862,12
8844,12
8844,14
8844,10751
15602,10749
15602,35
31357,35
31357,18
31357,10749
11862,35
11862,10751
949,80
949,18
949,28
11860,10749
11860,18
11860,35
45325,10751
45325,28
45325,12
45325,18
9091,28
9091,18
9091,53
9091,80
710,12
710,28
710,53
9087,35
9087,18
9087,10749
12110,35
12110,27
21032,10751
21032,16
21032,12
10858,18
10858,36
1408,28
1408,12
524,80
524,18
4584,18
4584,10749
5,35
9273,80
9273,35
9273,12
11517,28
11517,35
11517,80
8012,35
8012,53
8012,80
1710,53
1710,80
1710,9648
9691,28
9691,12
9691,80
9691,53
12665,18
12665,14
451,18
451,10749
16420,18
9263,35
9263,18
9263,10749
17015,18
17015,10749
902,14
902,878
902,12
37557,18
37557,80
9909,18
63,878
63,53
63,9648
78802,10749
78802,12
9598,14
9598,18
9598,35
9598,10751
47018,36
47018,18
47018,10749
687,18
139405,12
139405,36
139405,18
139405,10751
33689,35
33689,10751
33689,10749
9603,35
9603,10749
34615,18
31174,18
31174,10752
11443,28
11443,80
11443,18
11443,53
11443,10752
35196,18
35196,10749
9312,28
9312,14
577,18
577,35
577,80
11861,18
11861,10749
807,80
807,9648
807,53
10530,12
10530,16
10530,10751
10530,10749
8391,18
8391,10749
629,18
629,80
629,53
117164,28
117164,53
117164,18
11448,35
11448,10749
49133,18
26441,10751
26441,35
97406,18
124057,10751
124057,14
124057,35
124057,12
9089,35
9089,18
9089,10749
11010,35
11010,18
11010,10749
99040,53
99040,18
99040,9648
11359,12
11359,10751
11359,14
17182,53
17182,18
2054,18
2054,10402
10607,35
10607,80
19760,35
19760,10749
9536,35
11525,878
11525,27
11525,28
11525,53
40628,18
40628,10751
4482,35
4482,10749
10634,35
10634,18
755,27
755,28
755,53
755,80
11859,28
28387,35
28387,18
28387,10749
48750,18
48750,36
20927,18
20927,10749
36929,35
9102,27
9102,878
9102,10752
124626,99
27526,18
27526,53
9623,53
9623,80
9623,18
46785,18
46785,10751
400,18
400,80
880,18
880,35
146599,10749
146599,18
188588,35
188588,18
8447,18
8447,10749
10534,18
10534,12
17414,10751
17414,35
17414,12
13997,35
2086,53
2086,80
2086,28
61548,18
9095,18
9095,27
9095,53
12158,35
12158,27
12158,10749
12158,14
9283,35
9283,18
9283,10749
9208,28
9208,53
40154,35
406,18
45549,80
45549,18
45549,28
63076,99
11062,18
11062,53
13685,35
13685,80
13685,18
47475,35
47475,10749
2045,53
2045,9648
2045,878
9614,35
688,18
688,10749
11907,18
11907,35
11907,10751
10874,10751
10874,35
10874,12
89333,99
96357,80
197,28
197,18
197,36
197,10752
103,80
