movie_id,person_id,role
862,7885,Original Music Composer
862,7885,Songs
8844,1729,Original Music Composer
15602,37,Original Music Composer
31357,224253,Original Music Composer
11862,37,Original Music Composer
949,5581,Original Music Composer
11860,491,Original Music Composer
11860,491,Songs
45325,21276,Original Music Composer
9091,4500,Original Music Composer
710,996,Original Music Composer
710,82426,Original Music Composer
710,33684,Original Music Composer
9087,9251,Original Music Composer
12110,53839,Music
12110,53839,Original Music Composer
21032,1729,Original Music Composer
10858,491,Original Music Composer
1408,4500,Original Music Composer
524,2612131,Music
4584,9152,Original Music Composer
5,3116,Original Music Composer
9273,43393,Original Music Composer
11517,9989,Original Music Composer
8012,6394,Original Music Composer
1710,19155,Original Music Composer
9691,9989,Original Music Composer
12665,1760,Original Music Composer
451,6111,Original Music Composer
451,982,Songs
16420,46863,Original Music Composer
9263,2120,Original Music Composer
17015,1073310,Original Music Composer
902,5628,Original Music Composer
37557,2028034,Original Music Composer
9909,34061,Original Music Composer
9909,34060,Original Music Composer
63,1020074,Original Music Composer
78802,5488,Original Music Composer
9598,58065,Original Music Composer
47018,10759,Original Music Composer
687,10364,Original Music Composer
139405,2289,Music
33689,3940508,Original Music Composer
33689,961175,Original Music Composer
9603,25143,Original Music Composer
34615,2289,Original Music Composer
31174,7020,Original Music Composer
11443,531,Original Music Composer
11443,531,Music
35196,1213,Original Music Composer
9312,9204,Original Music Composer
9312,10826,Songs
577,531,Original Music Composer
11861,153,Original Music Composer
807,117,Original Music Composer
10530,15813,Original Music Composer
10530,15813,Songs
10530,42910,Songs
8391,39827,Original Music Composer
629,9039,Original Music Composer
117164,1073555,Music
11448,20967,Original Music Composer
49133,59915,Original Music Composer
26441,14712,Original Music Composer
124057,17212,Original Music Composer
9089,4140,Original Music Composer
11010,66675,Original Music Composer
99040,1567889,Original Music Composer
11359,14712,Original Music Composer
17182,1213,Original Music Composer
2054,7714,Original Music Composer
10607,66134,Original Music Composer
19760,1123365,Music
19760,57263,Music
9536,57874,Original Music Composer
11525,43393,Original Music Composer
40628,1225,Original Music Composer
4482,2806818,Original Music Composer
10634,1654408,Original Music Composer
10634,2901356,Original Music Composer
10634,61654,Original Music Composer
755,5912,Original Music Composer
11859,9989,Original Music Composer
28387,132583,Original Music Composer
48750,578514,Original Music Composer
48750,19607,Original Music Composer
48750,10934,Original Music Composer
48750,1991956,Original Music Composer
48750,1086223,Original Music Composer
20927,4055,Original Music Composer
36929,3393,Original Music Composer
9102,17212,Music
27526,7066,Original Music Composer
9623,1213,Original Music Composer
400,4055,Original Music Composer
880,13502,Music
8447,55041,Original Music Composer
10534,59472,Original Music Composer
17414,63964,Original Music Composer
13997,11166,Original Music Composer
2086,12845,Original Music Composer
61548,21276,Music
9095,1528,Original Music Composer
12158,28156,Original Music Composer
9283,57124,Original Music Composer
9283,1488936,Music
9208,947,Original Music Composer
40154,151797,Original Music Composer
406,5429,Music
45549,27265,Original Music Composer
63076,21418,Original Music Composer
11062,1760,Original Music Composer
13685,5666,Original Music Composer
47475,63923,Original Music Composer
2045,19155,Original Music Composer
9614,5666,Original Music Composer
688,195,Original Music Composer
11907,4524,Original Music Composer
10874,947,Original Music Composer
10874,1785342,Songs
10874,2016242,Songs
96357,1557518,Original Music Composer
197,1729,Original Music Composer
103,1045,Original Music Composer
33542,46324,Original Music Composer
33542,28156,Original Music Composer
43566,117,Original Music Composer
71754,29453,Music
43612,20855,Original Music Composer
51352,24717,Music
16934,29486,Original Music Composer
10324,68188,Original Music Composer
10324,68189,Original Music Composer
78406,65256,Original Music Composer
55731,5912,Original Music Composer
32119,1055964,Original Music Composer
11066,63976,Original Music Composer
11104,12454,Original Music Composer
11104,68029,Original Music Composer
11104,1011224,Original Music Composer
37975,1259,Original Music Composer
2074,21276,Original Music Composer
27793,56006,Original Music Composer
44284,1604800,Music
110972,4055,Original Music Composer
32622,105669,Original Music Composer
73067,7182,Original Music Composer
11863,1729,Original Music Composer
9101,14712,Original Music Composer
5757,1200355,Music
39428,1978933,Original Music Composer
9302,153,Original Music Composer
9302,1234405,Songs
11000,60790,Original Music Composer
525153,1138218,Original Music Composer
16388,1482555,Original Music Composer
9737,9989,Original Music Composer
30765,11166,Original Music Composer
10474,5912,Original Music Composer
22279,39023,Original Music Composer
30157,91343,Music
30157,1521755,Music
568,1729,Original Music Composer
11780,1225,Original Music Composer
34996,39107,Original Music Composer
414,5581,Original Music Composer
1873,947,Original Music Composer
5894,6394,Music
5894,46402,Music
5894,46403,Music
1775,19746,Original Music Composer
1775,7182,Original Music Composer
20649,5287,Original Music Composer
10329,1760,Original Music Composer
8963,947,Original Music Composer
26564,140994,Music
8068,1242713,Original Music Composer
8068,1285211,Original Music Composer
8068,1233757,Original Music Composer
8068,1285208,Original Music Composer
8068,1285210,Original Music Composer
8512,7182,Original Music Composer
1572,7714,Original Music Composer
13552,113813,Original Music Composer
259209,1135,Original Music Composer
6520,1760,Original Music Composer
9073,7728,Original Music Composer
10428,7741,Original Music Composer
10428,220903,Original Music Composer
17447,21276,Original Music Composer
9886,2722,Original Music Composer
9886,5359,Original Music Composer
9482,37,Original Music Composer
19326,25143,Original Music Composer
9344,57394,Original Music Composer
9344,1529606,Original Music Composer
9071,56905,Original Music Composer
8973,7741,Original Music Composer
15730,939704,Original Music Composer
47608,1813161,Original Music Composer
2293,12939,Original Music Composer
9070,5912,Original Music Composer
68274,117,Original Music Composer
48787,58389,Original Music Composer
34574,32804,Original Music Composer
1642,4140,Original Music Composer
11472,947,Original Music Composer
36196,1181479,Original Music Composer
11980,56748,Original Music Composer
58372,21276,Original Music Composer
32646,556882,Original Music Composer
10533,2289,Original Music Composer
56088,9769,Music
10802,57124,Original Music Composer
10149,3562,Original Music Composer
18402,947,Original Music Composer
18402,2006060,Original Music Composer
9348,19155,Original Music Composer
139408,197815,Music
281,5912,Original Music Composer
5967,10934,Original Music Composer
5967,24882,Songs
5967,10934,Songs
79593,5912,Original Music Composer
47939,1531237,Original Music Composer
36834,22680,Original Music Composer
9090,3562,Original Music Composer
3512,7728,Original Music Composer
52856,153,Original Music Composer
77350,2245849,Original Music Composer
9560,2704,Original Music Composer
9804,1213,Original Music Composer
31611,117,Original Music Composer
65796,58099,Original Music Composer
49805,4140,Original Music Composer
26258,10494,Original Music Composer
50797,560802,Original Music Composer
76,577,Original Music Composer
11017,14712,Original Music Composer
37141,49044,Original Music Composer
9382,3393,Original Music Composer
6715,10771,Original Music Composer
18256,19711,Original Music Composer
22625,7714,Original Music Composer
1909,7714,Original Music Composer
1909,25211,Original Music Composer
1909,56683,Songs
8984,1259,Original Music Composer
61813,983104,Original Music Composer
4954,947,Original Music Composer
62488,82271,Original Music Composer
10531,1400,Original Music Composer
11929,531,Original Music Composer
8467,55165,Original Music Composer
10451,57053,Original Music Composer
20156,5359,Original Music Composer
18395,9152,Original Music Composer
18395,3184518,Songs
522,117,Original Music Composer
397,1213,Original Music Composer
10525,9251,Original Music Composer
27985,29056,Music
15789,1225,Original Music Composer
15789,2032410,Songs
15789,1731081,Songs
15789,2853179,Songs
15789,1880612,Songs
15789,5359716,Songs
27303,7020,Original Music Composer
21183,27181,Original Music Composer
47867,50239,Music
43475,2083680,Original Music Composer
72031,1341802,Original Music Composer
14275,3792727,Music
1024,11327,Original Music Composer
17207,4500,Original Music Composer
14819,66941,Original Music Composer
32631,2165593,Original Music Composer
11777,1760,Original Music Composer
628,5581,Original Music Composer
87729,54449,Original Music Composer
18713,12939,Original Music Composer
6280,1213,Original Music Composer
9061,1213,Original Music Composer
37108,66941,Original Music Composer
6071,7020,Original Music Composer
11,491,Original Music Composer
9587,153,Original Music Composer
19101,9152,Original Music Composer
49980,1528,Original Music Composer
17961,19167,Original Music Composer
18183,1173081,Original Music Composer
4476,1729,Original Music Composer
11008,63923,Original Music Composer
47504,91147,Original Music Composer
43742,1259,Original Music Composer
28313,4140,Original Music Composer
11318,1528,Original Music Composer
11318,2496487,Music
3036,9152,Original Music Composer
40490,9989,Original Music Composer
24070,1528,Original Music Composer
8986,4055,Original Music Composer
10510,20897,Original Music Composer
17402,4140,Original Music Composer
8438,19155,Original Music Composer
11593,117,Original Music Composer
1945,4140,Original Music Composer
39310,545376,Music
109560,1838024,Original Music Composer
56428,959,Original Music Composer
56428,129271,Original Music Composer
63105,94667,Original Music Composer
131957,957928,Original Music Composer
241,3187,Original Music Composer
9058,3562,Original Music Composer
527,7260,Original Music Composer
527,7261,Original Music Composer
6950,1213,Original Music Composer
101,996,Original Music Composer
63020,37,Music
63020,129782,Original Music Composer
2307,3562,Original Music Composer
41478,9769,Original Music Composer
25296,2824929,Original Music Composer
25296,1672903,Original Music Composer
40156,2249620,Original Music Composer
11450,4140,Original Music Composer
30304,3278,Original Music Composer
10452,53908,Original Music Composer
10452,1008866,Songs
12106,37,Original Music Composer
161495,7182,Original Music Composer
3586,10934,Original Music Composer
110,1346,Original Music Composer
110,1135,Original Music Composer
108,1135,Original Music Composer
109,1135,Original Music Composer
92769,55641,Music
28033,9251,Original Music Composer
22586,45962,Original Music Composer
22586,45962,Songs
14334,20836,Original Music Composer
2636,2289,Original Music Composer
2164,6489,Original Music Composer
11395,4055,Original Music Composer
278,153,Original Music Composer
9905,7741,Original Music Composer
87078,1643438,Original Music Composer
12527,72653,Original Music Composer
20306,568314,Original Music Composer
36614,2110512,Music
27993,38335,Original Music Composer
31439,65285,Original Music Composer
9067,5912,Original Music Composer
9059,1999,Original Music Composer
193,2398,Original Music Composer
25066,19155,Original Music Composer
46797,51064,Original Music Composer
12122,11770,Original Music Composer
12122,71345,Original Music Composer
11381,3393,Original Music Composer
32636,196726,Music
36141,8377,Original Music Composer
1587,3862,Original Music Composer
1587,1714546,Original Music Composer
9271,19155,Original Music Composer
9271,10826,Songs
2064,14712,Original Music Composer
19855,153,Original Music Composer
60855,1396494,Music
236,3048,Original Music Composer
48287,50715,Original Music Composer
3049,12939,Original Music Composer
2759,26050,Original Music Composer
12635,73185,Original Music Composer
10497,595,Original Music Composer
9331,1729,Original Music Composer
10731,117,Original Music Composer
10464,65380,Original Music Composer
10464,153,Music
34152,5287,Original Music Composer
9495,5912,Original Music Composer
29973,5581,Original Music Composer
888,558640,Original Music Composer
888,558641,Original Music Composer
888,3393,Original Music Composer
13,37,Original Music Composer
712,10724,Original Music Composer
16295,9769,Original Music Composer
48992,3306336,Original Music Composer
10879,3393,Music
10660,1225,Original Music Composer
10660,69160,Original Music Composer
10714,7728,Original Music Composer
41647,38813,Original Music Composer
41647,38812,Original Music Composer
8587,947,Original Music Composer
8587,11370,Songs
8587,72743,Songs
1689,11382,Original Music Composer
11596,28156,Original Music Composer
854,14712,Original Music Composer
9359,7885,Original Music Composer
23333,4140,Original Music Composer
36593,12939,Original Music Composer
12280,7885,Original Music Composer
2788,4351871,Music
10427,65256,Original Music Composer
11011,37,Original Music Composer
49803,4140,Original Music Composer
8987,1760,Original Music Composer
1637,9989,Original Music Composer
15128,9251,Original Music Composer
8831,4140,Original Music Composer
36955,2722,Original Music Composer
10449,1135,Original Music Composer
10395,1259,Original Music Composer
12160,1213,Original Music Composer
40480,1225,Original Music Composer
52038,7657,Original Music Composer
29444,5912,Original Music Composer
26352,63976,Original Music Composer
315,4681,Original Music Composer
315,4683,Original Music Composer
11667,5912,Original Music Composer
32502,38335,Original Music Composer
267188,1206675,Original Music Composer
28732,53839,Original Music Composer
75555,98606,Original Music Composer
291731,198990,Music
291731,198990,Original Music Composer
226229,1199560,Music
172923,3288597,Music
2654,11770,Original Music Composer
2654,27582,Original Music Composer
18069,10494,Original Music Composer
19092,63976,Original Music Composer
46094,3393,Original Music Composer
9409,12845,Original Music Composer
11853,1760,Original Music Composer
16771,72210,Original Music Composer
46924,70588,Original Music Composer
11041,9217,Original Music Composer
306,4613,Original Music Composer
14522,531,Original Music Composer
26203,2722,Original Music Composer
178,37,Original Music Composer
