movie_id,title,release_year,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,director_id
862,История Игрушек,1995,81,30000000,394436586,17.5488,7.971,19334,en,7879
8844,Джуманджи,1995,104,65000000,262821940,2.4996,7.243,10984,en,4945
15602,Старые ворчуны разбушевались,1995,101,25000000,71500000,1.6504,6.5,410,en,26502
31357,В ожидании выдоха,1995,127,16000000,81452156,2.4205,6.281,180,en,2178
11862,Отец невесты 2,1995,106,,76594107,2.8898,6.272,780,en,56106
949,Схватка,1995,171,60000000,187400000,9.7835,7.924,7939,en,638
11860,Сабрина,1995,127,58000000,53672080,3.2528,6.2,657,en,2226
45325,Приключения Тома Сойера,1995,91,,23920048,1.2736,5.261,203,en,18357
9091,Внезапная смерть,1995,110,35000000,64350171,1.6168,6.0,774,en,37710
710,007: Золотой Глаз,1995,130,60000000,352194034,5.1411,6.9,4158,en,10702
9087,Американский президент,1995,113,62000000,107879496,1.9437,6.526,755,en,3026
12110,Дракула: Мёртвый и довольный,1995,88,30000000,10772144,2.7659,6.081,1052,en,14639
21032,Балто,1995,71,31000000,11348324,2.3777,7.3,2119,en,21879
10858,Никсон,1995,212,44000000,13681765,2.6837,6.9,385,en,1152
1408,Остров головорезов,1995,124,102000000,16000000,1.6567,5.8,594,en,16938
524,Казино,1995,171,50000000,116112375,7.9114,7.993,6277,en,1032
4584,Разум и чувства,1995,136,16000000,134582776,8.802,7.4,1782,en,1614
5,Четыре комнаты,1995,98,4000000,4257354,2.8183,5.875,2763,en,3110
9273,Эйс Вентура 2: Когда зовёт природа,1995,90,30000000,212385533,8.1011,6.32,4381,en,4489
11517,Денежный поезд,1995,103,68000000,77224232,2.7466,5.9,819,en,52629
8012,Достать коротышку,1995,105,30250000,115101622,3.0751,6.504,1144,en,5174
1710,Имитатор,1995,123,20000000,32000000,3.353,6.472,1179,en,15148
9691,Наёмные убийцы,1995,132,50000000,30303072,3.7257,6.495,1647,en,7187
12665,Пудра,1995,111,9500000,30900000,5.8765,7.0,692,en,56349
451,Покидая Лас-Вегас,1995,111,3600000,49800000,3.4511,7.2,1566,en,6111
16420,Отелло,1995,123,11000000,2800000,2.4123,6.3,148,en,56710
9263,Сейчас и тогда,1995,100,12000000,27400000,1.8058,6.9,462,en,15798
17015,Доводы рассудка,1995,104,1500000,5269757,4.3023,7.114,136,en,7017
902,Город потерянных детей,1995,112,18000000,1738611,2.116,7.248,1167,fr,2419
37557,Шанхайская триада,1995,108,2300000,,2.0164,6.7,102,zh,607
9909,Опасные умы,1995,99,23000000,179519401,4.8317,6.96,1220,en,60295
63,12 обезьян,1995,129,29000000,168841459,5.5064,7.602,8797,en,280
78802,Крылья отваги,1995,50,,,0.5836,6.5,21,fr,2352
9598,Бэйб: Четвероногий малыш,1995,91,30000000,254100000,3.643,6.25,3030,en,58137
47018,Кэррингтон,1995,121,,,2.3667,6.1,67,en,12952
687,Мертвец идет,1995,122,11000000,39363635,2.06,7.32,1434,en,504
139405,Across the Sea of Time,1995,51,,16015639,0.1865,5.2,5,en,77867
33689,Двое: Я и моя тень,1995,101,19474589,19474589,3.3989,6.516,937,en,17167
9603,Бестолковые,1995,97,12000000,56631572,5.6029,7.263,4655,en,57434
34615,Два цвета времени,1995,106,,676525,0.8136,6.7,26,en,16730
31174,Ричард III,1995,104,,2748518,2.4297,6.7,189,en,33315
11443,Мертвые президенты,1995,119,10000000,24100000,1.6101,6.656,311,en,11447
35196,Королевская милость,1995,117,19000000,4005941,0.6641,6.0,126,en,52405
9312,Смертельная битва,1995,101,18000000,122195920,5.2911,5.87,2418,en,4014
577,Умереть во имя,1995,106,20000000,21300000,1.7855,6.6,845,en,5216
11861,Лоскутное Одеяло,1995,116,10000000,41200020,3.0869,6.4,189,en,3047
807,Семь,1995,127,33000000,327311859,15.813,8.378,22345,en,7467
10530,Покахонтас,1995,78,55000000,346079773,6.5524,6.912,5924,en,65530
8391,Когда наступает ночь,1995,94,,,1.8467,6.3,86,en,55439
629,Подозрительные лица,1995,105,6000000,23300000,7.6196,8.173,10999,en,9032
117164,Ангел-хранитель,1994,97,,,2.2131,4.4,17,en,100505
11448,Великая Афродита,1995,95,15000000,26000000,2.8696,6.7,721,en,1243
49133,Lamerica,1994,112,,,1.4347,7.1,62,it,128107
26441,Азбука футбола,1995,100,,,1.697,5.554,193,en,71338
97406,Джорджия,1995,115,,1110974,3.0073,5.7,46,en,140354
124057,Меч короля Артура,1995,89,,,1.1974,4.4,7,en,30586
9089,Домой на праздники,1995,103,20000000,22119269,2.4625,6.2,187,en,1038
11010,Почтальон,1994,109,3000000,33000000,1.2001,7.926,1185,it,28898
99040,Исповедь,1995,100,,,2.2765,6.0,22,fr,38527
11359,Индеец в шкафу,1995,96,45000000,35700000,2.0684,6.5,657,en,7908
17182,Око за око,1996,101,20000000,26877589,1.7127,6.183,442,en,19304
2054,Опус мистера Холланда,1995,143,31000000,106300000,2.011,6.9,435,en,18356
10607,"Не грози южному централу, попивая сок у себя в квартале",1996,89,3800000,20100000,4.8518,7.0,1420,en,45649
19760,Украденные сердца,1996,96,,10658278,1.0726,4.9,97,en,49361
9536,Биосфера,1996,95,8500000,13400000,1.8989,4.518,390,en,57870
11525,Газонокосильщик 2: За пределами киберпространства,1996,92,15000000,2409225,1.5252,3.3,164,en,69721
40628,Четвертак,1995,85,,,1.4359,5.7,63,en,15890
4482,Французский твист,1995,104,,,3.3873,6.1,315,fr,35137
10634,Пятница,1995,91,3500000,28215918,4.5797,7.1,1938,en,37932
755,От заката до рассвета,1996,107,19000000,25800000,4.7546,7.03,6257,en,2294
11859,Честная игра,1995,91,50000000,11500000,1.1129,5.1,322,en,70850
28387,Забыть и вспомнить,1995,96,,718490,1.3159,6.2,228,en,5656
48750,Отверженные,1995,175,,,3.2585,6.7,83,fr,16862
20927,Постель из роз,1996,87,,19030691,0.8778,5.8,120,en,10296
36929,Большие парни,1996,90,15000000,2042530,2.0941,4.6,77,en,58712
9102,Крикуны,1995,108,20000000,5781885,4.0128,6.224,577,en,25735
124626,Nico Icon,1995,70,,,1.4029,7.5,10,en,1080309
27526,Постовой на перекрестке,1995,111,,,1.1853,6.0,278,en,2228
9623,Присяжная,1996,118,44000000,22754725,2.8962,5.661,423,en,18069
46785,Белый шар,1995,85,,,1.047,7.4,99,fa,120229
400,Чем заняться мертвецу в Денвере,1995,115,8000000,529766,1.8599,6.4,412,en,5501
880,Антония,1995,102,900000,,2.6822,6.907,135,nl,13496
146599,Once Upon a Time... When We Were Colored,1996,115,,,1.2669,3.6,5,en,27771
188588,Last Summer in the Hamptons,1995,108,,,0.7824,5.5,4,en,117075
8447,Ангелы и насекомые,1995,118,,,1.1935,6.1,55,en,55038
10534,Белый шквал,1996,129,38000000,10300000,3.1004,6.264,387,en,578
17414,Появляется Данстон,1996,88,16000000,,1.0203,5.378,238,en,29009
13997,Паршивая овца,1996,87,32400000,32000000,1.7552,6.1,438,en,58448
2086,В последний момент,1995,90,33000000,8175346,1.5985,6.2,769,en,12840
61548,Путешествие Августа Кинга,1995,92,,,0.7838,6.7,15,en,72624
9095,Мэри Райли,1996,108,47000000,12379402,2.3061,5.763,331,en,3224
12158,Вампир в Бруклине,1995,102,14000000,19800000,1.4827,5.1,614,en,5140
9283,Красивые девушки,1996,112,16000000,27000000,2.111,6.655,385,en,34849
9208,Сломанная стрела,1996,108,50000000,150300000,3.7107,6.063,1605,en,11401
40154,Зимняя сказка,1995,99,,,1.2129,7.1,42,en,11181
406,Ненависть,1995,98,2600000,15300000,4.0332,8.086,4351,fr,2406
45549,Шоппинг,1994,105,,,2.1306,5.321,56,en,4014
63076,Heidi Fleiss: Hollywood Madam,1995,106,,,0.393,6.6,14,en,92561
11062,Мэрия,1996,111,40000000,33440204,2.5843,5.9,304,en,23213
13685,Бутылочная ракета,1996,92,7000000,1040879,1.6956,6.7,1132,en,5655
47475,Господин Ошибка,1996,96,,,2.0046,3.968,62,en,14692
2045,Незабываемое,1996,112,18000000,,2.1406,5.598,112,en,21053
9614,Счастливчик Гилмор,1996,92,12000000,41422354,4.796,6.675,3168,en,17494
688,Мосты округа Мэдисон,1995,135,24000000,182000000,4.9406,7.709,2287,en,190
11907,Никто меня не любит,1994,104,,,0.7846,6.157,35,de,18969
10874,Остров сокровищ Маппетов,1996,99,31000000,34300000,2.0105,6.7,437,en,65298
89333,Catwalk,1995,95,,,1.5685,7.5,8,en,64077
96357,Headless Body in Topless Bar,1995,110,,,0.5825,3.0,5,en,180597
197,Храброе сердце,1995,178,72000000,213216216,7.9084,7.942,10723,en,2461
103,Таксист,1976,114,1900000,28579636,11.9145,8.132,13009,en,1032
33542,Разборка в Бронксе,1995,91,7500000,76028558,3.0049,6.812,1107,cn,44916
43566,До и после,1996,108,35000000,8797839,1.3577,5.907,205,en,23393
71754,Margaret's Museum,1995,114,,,1.6294,6.346,13,en,184475
43612,Любовь в лугах,1995,106,13365000,,1.7435,6.799,169,fr,20849
51352,Anne Frank Remembered,1995,117,,,1.1595,7.7,23,en,82293
16934,Настольная книга молодого отравителя,1995,99,,,0.3817,6.6,52,en,81020
10324,Если Люси упадет,1996,92,5000000,2420162,1.2158,5.3,59,en,68185
78406,Steal Big Steal Little,1995,113,25000000,6278139,0.6906,4.3,22,en,12989
55731,В погоне за солнцем,1996,100,,,1.5916,5.1,64,en,36147
32119,Мальчики святого Винсента,1994,93,,204540,1.6449,7.2,42,en,60295
11066,Бумеранг,1992,117,40000000,131052444,3.0871,5.6,601,en,68215
11104,Чунгкингский экспресс,1994,102,160000,,4.859,8.0,2063,cn,12453
37975,Фабрика звезд,1995,113,,,0.818,7.1,187,it,65314
2074,Не будите спящую собаку,1996,93,7000000,14702438,1.4694,6.2,261,en,17883
27793,Бесконечная история 3,1994,95,17000000,,1.8736,4.5,411,de,16589
44284,صمت القصور,1994,124,,,1.1801,6.4,23,ar,239321
290157,Jupiter's Wife,1995,87,,,0.0593,7.1,7,en,93632
110972,Журавль в небе,1996,95,,,1.5035,6.6,13,en,122583
32622,Анджела,1996,99,,,1.3612,5.463,27,en,41670
73067,Звезды Фрэнки,1995,101,,,1.8202,5.036,14,en,125543
11863,Нефрит,1995,107,50000000,9851610,2.3391,5.472,284,en,15175
55475,Nueba Yol,1995,102,,,0.2212,4.8,6,es,114997
124636,Sonic Outlaws,1995,87,,,0.1041,7.4,5,en,84445
9101,Убрать перископ,1996,92,,37553585,2.4416,6.4,496,en,12920
123360,From the Journals of Jean Seberg,1995,97,,,0.5105,5.8,6,en,1077999
5757,Man of the Year,1995,86,,209935,0.4229,2.786,7,en,45382
39428,The Neon Bible,1995,92,,,0.9378,6.0,25,en,93911
124639,Target,1995,122,,,1.0072,0.0,0,hi,1080311
9302,Близко к сердцу,1996,119,60000000,100688562,1.8731,6.3,231,en,18250
11000,Клетка для пташек,1996,119,31000000,185300000,2.9782,7.0,1266,en,5342
525153,Cienie,1988,101,,,1.5125,7.6,4,pl,2045994
249882,"Gospa, The Miracle of Medjugorje",1995,125,,,1.219,4.1,8,hr,1285121
